Дата,T
14.10.2018 11:00,-0.1
14.10.2018 8:00,-1.5
14.10.2018 5:00,-2.8
14.10.2018 2:00,-3.5
13.10.2018 23:00,-2.0
13.10.2018 20:00,0.1
13.10.2018 17:00,1.4
13.10.2018 14:00,5.3
13.10.2018 11:00,4.0
13.10.2018 8:00,1.1
13.10.2018 5:00,1.4
13.10.2018 2:00,1.5
12.10.2018 23:00,2.0
12.10.2018 20:00,4.1
12.10.2018 17:00,4.9
12.10.2018 14:00,6.1
12.10.2018 11:00,8.3
12.10.2018 8:00,8.9
12.10.2018 5:00,9.1
12.10.2018 2:00,10.3
11.10.2018 23:00,11.0
11.10.2018 20:00,11.8
11.10.2018 17:00,15.0
11.10.2018 14:00,15.8
11.10.2018 11:00,11.6
11.10.2018 8:00,6.9
11.10.2018 5:00,5.2
11.10.2018 2:00,4.6
10.10.2018 23:00,3.5
10.10.2018 20:00,5.7
10.10.2018 17:00,10.6
10.10.2018 14:00,12.3
10.10.2018 11:00,9.7
10.10.2018 8:00,3.1
10.10.2018 5:00,3.1
10.10.2018 2:00,5.3
09.10.2018 23:00,8.4
09.10.2018 20:00,10.7
09.10.2018 17:00,16.0
09.10.2018 14:00,17.2
09.10.2018 11:00,14.5
09.10.2018 8:00,5.9
09.10.2018 5:00,6.0
09.10.2018 2:00,6.4
08.10.2018 23:00,8.2
08.10.2018 20:00,11.4
08.10.2018 17:00,13.4
08.10.2018 14:00,11.3
08.10.2018 11:00,7.7
08.10.2018 8:00,5.5
08.10.2018 5:00,4.6
08.10.2018 2:00,3.5
07.10.2018 23:00,4.0
07.10.2018 20:00,6.3
07.10.2018 17:00,7.3
07.10.2018 14:00,8.9
07.10.2018 11:00,7.7
07.10.2018 8:00,6.7
07.10.2018 5:00,7.5
07.10.2018 2:00,9.6
06.10.2018 23:00,11.0
06.10.2018 20:00,13.2
06.10.2018 17:00,21.2
06.10.2018 14:00,23.2
06.10.2018 11:00,19.4
06.10.2018 8:00,11.3
06.10.2018 5:00,11.2
06.10.2018 2:00,13.0
05.10.2018 23:00,15.3
05.10.2018 20:00,19.0
05.10.2018 17:00,22.3
05.10.2018 14:00,22.3
05.10.2018 11:00,17.8
05.10.2018 8:00,9.6
05.10.2018 5:00,10.5
05.10.2018 2:00,11.8
04.10.2018 23:00,13.9
04.10.2018 20:00,16.4
04.10.2018 17:00,19.7
04.10.2018 14:00,20.0
04.10.2018 11:00,16.3
04.10.2018 8:00,6.9
04.10.2018 5:00,6.5
04.10.2018 2:00,8.4
03.10.2018 23:00,10.3
03.10.2018 20:00,10.0
03.10.2018 17:00,15.0
03.10.2018 14:00,15.5
03.10.2018 11:00,13.1
03.10.2018 8:00,3.9
03.10.2018 5:00,1.2
03.10.2018 2:00,2.1
02.10.2018 23:00,4.7
02.10.2018 20:00,7.5
02.10.2018 17:00,11.6
02.10.2018 14:00,11.3
02.10.2018 11:00,7.9
02.10.2018 8:00,3.9
02.10.2018 5:00,4.4
02.10.2018 2:00,6.4
01.10.2018 23:00,7.2
01.10.2018 20:00,8.5
01.10.2018 17:00,13.9
01.10.2018 14:00,15.8
01.10.2018 11:00,17.8
01.10.2018 8:00,6.5
01.10.2018 5:00,6.8
01.10.2018 2:00,9.3
30.09.2018 23:00,9.9
30.09.2018 20:00,11.9
30.09.2018 17:00,19.1
30.09.2018 14:00,19.7
30.09.2018 11:00,16.5
30.09.2018 8:00,7.1
30.09.2018 5:00,6.2
30.09.2018 2:00,8.3
29.09.2018 23:00,9.9
29.09.2018 20:00,11.4
29.09.2018 17:00,14.5
29.09.2018 14:00,15.0
29.09.2018 11:00,11.7
29.09.2018 8:00,4.6
29.09.2018 5:00,3.8
29.09.2018 2:00,5.5
28.09.2018 23:00,8.9
28.09.2018 20:00,12.1
28.09.2018 17:00,18.0
28.09.2018 14:00,23.0
28.09.2018 11:00,20.6
28.09.2018 8:00,11.6
28.09.2018 5:00,11.9
28.09.2018 2:00,13.0
27.09.2018 23:00,15.4
27.09.2018 20:00,17.5
27.09.2018 17:00,21.9
27.09.2018 14:00,21.7
27.09.2018 11:00,19.6
27.09.2018 8:00,12.3
27.09.2018 5:00,10.5
27.09.2018 2:00,9.7
26.09.2018 23:00,15.4
26.09.2018 20:00,16.2
26.09.2018 17:00,20.8
26.09.2018 14:00,20.8
26.09.2018 11:00,19.1
26.09.2018 8:00,9.0
26.09.2018 5:00,5.2
26.09.2018 2:00,6.9
25.09.2018 23:00,10.3
25.09.2018 20:00,12.8
25.09.2018 17:00,19.6
25.09.2018 14:00,19.1
25.09.2018 11:00,16.5
25.09.2018 8:00,6.4
25.09.2018 5:00,5.5
25.09.2018 2:00,6.5
24.09.2018 23:00,8.1
24.09.2018 20:00,10.4
24.09.2018 17:00,12.9
24.09.2018 14:00,10.8
24.09.2018 11:00,10.0
24.09.2018 8:00,8.7
24.09.2018 5:00,8.3
24.09.2018 2:00,8.8
23.09.2018 23:00,9.5
23.09.2018 20:00,9.4
23.09.2018 17:00,11.7
23.09.2018 14:00,14.7
23.09.2018 11:00,12.3
23.09.2018 8:00,10.5
23.09.2018 5:00,9.9
23.09.2018 2:00,10.9
22.09.2018 23:00,11.1
22.09.2018 20:00,11.3
22.09.2018 17:00,11.1
22.09.2018 14:00,10.7
22.09.2018 11:00,10.2
22.09.2018 8:00,10.4
22.09.2018 5:00,10.1
22.09.2018 2:00,10.7
21.09.2018 23:00,10.6
21.09.2018 20:00,10.5
21.09.2018 17:00,12.5
21.09.2018 14:00,11.1
21.09.2018 11:00,12.1
21.09.2018 8:00,8.3
21.09.2018 5:00,8.7
21.09.2018 2:00,10.5
20.09.2018 23:00,11.2
20.09.2018 20:00,16.4
20.09.2018 17:00,19.2
20.09.2018 14:00,21.8
20.09.2018 11:00,19.4
20.09.2018 8:00,13.9
20.09.2018 5:00,13.0
20.09.2018 2:00,14.4
19.09.2018 23:00,16.4
19.09.2018 20:00,17.6
19.09.2018 17:00,18.6
19.09.2018 14:00,19.2
19.09.2018 11:00,16.2
19.09.2018 8:00,10.1
19.09.2018 5:00,8.6
19.09.2018 2:00,8.8
18.09.2018 23:00,11.5
18.09.2018 20:00,13.9
18.09.2018 17:00,17.5
18.09.2018 14:00,17.6
18.09.2018 11:00,15.1
18.09.2018 8:00,8.5
18.09.2018 5:00,7.5
18.09.2018 2:00,8.1
17.09.2018 23:00,9.3
17.09.2018 20:00,11.6
17.09.2018 17:00,16.2
17.09.2018 14:00,17.4
17.09.2018 11:00,15.8
17.09.2018 8:00,11.1
17.09.2018 5:00,5.9
17.09.2018 2:00,7.5
16.09.2018 23:00,10.1
16.09.2018 20:00,14.4
16.09.2018 17:00,18.7
16.09.2018 14:00,18.4
16.09.2018 11:00,17.7
16.09.2018 8:00,8.4
16.09.2018 5:00,7.1
16.09.2018 2:00,7.7
15.09.2018 23:00,10.5
15.09.2018 20:00,17.0
15.09.2018 17:00,22.3
15.09.2018 14:00,22.7
15.09.2018 11:00,17.9
15.09.2018 8:00,14.7
15.09.2018 5:00,15.2
15.09.2018 2:00,16.5
14.09.2018 23:00,18.0
14.09.2018 20:00,19.0
14.09.2018 17:00,22.3
14.09.2018 14:00,22.4
14.09.2018 11:00,19.6
14.09.2018 8:00,10.4
14.09.2018 5:00,8.5
14.09.2018 2:00,8.4
13.09.2018 23:00,10.7
13.09.2018 20:00,14.4
13.09.2018 17:00,19.2
13.09.2018 14:00,20.0
13.09.2018 11:00,17.2
13.09.2018 8:00,6.2
13.09.2018 5:00,4.3
13.09.2018 2:00,6.1
12.09.2018 23:00,8.5
12.09.2018 20:00,11.0
12.09.2018 17:00,14.7
12.09.2018 14:00,14.5
12.09.2018 11:00,12.1
12.09.2018 8:00,4.0
12.09.2018 5:00,2.5
12.09.2018 2:00,2.9
11.09.2018 23:00,2.7
